TANGGAL,Aktual (TAVG),Linear Regression,Decision Tree,Random Forest
2026-03-18,27.7,27.41606746326773,26.7,27.343318760270236
2026-03-19,27.8,27.533075332756894,26.7,27.57283097431602
2026-03-20,27.2,27.59375458554298,27.8,27.73258805704812
2026-03-21,27.5,27.0630083475789,26.7,27.25837894589781
2026-03-22,27.6,27.555550045301842,27.600000000000005,27.725986506420092
2026-03-23,27.7,27.76460610301126,28.2,27.849534065342663
2026-03-24,27.3,27.70267911532632,28.4,27.512878066378075
2026-03-25,28.2,27.499235532990213,28.2,27.536226346801342
2026-03-26,27.3,27.764190945668773,27.8,27.339704389129384
2026-03-27,26.6,26.933207258484217,27.600000000000005,27.036859662559667
2026-03-28,26.6,26.448522987043518,26.2,26.600384343434353
2026-03-29,27.5,26.65161598647579,28.6,27.100842051467065
2026-03-30,27.8,28.18078634577038,27.5,27.454861225702384
2026-03-31,27.5,27.143160587027474,27.1,27.032152639952628
2026-04-01,27.5,27.246216576690806,26.5,27.361818617307975
2026-04-02,27.5,27.16640496229101,26.5,27.335229637497857
2026-04-03,27.5,27.356933795950667,26.5,27.452006827572646
2026-04-04,26.7,27.212179915483652,26.6,27.00992155907817
2026-04-05,27.1,26.884882594329014,27.3,27.172173797498825
2026-04-06,27.0,26.68882718416672,27.0,26.90342910052909
2026-04-07,27.0,26.673404344833045,26.7,26.799426491101496
2026-04-08,27.4,26.677586781299084,26.6,26.827532936507946
2026-04-09,27.4,26.99380392545291,27.1,27.06925166083915
2026-04-10,27.0,26.85397569527946,26.7,26.97867633718135
2026-04-11,27.1,26.745475236373018,26.4,26.748837590187584
2026-04-12,27.0,26.754103652062568,26.6,27.072175652125647
2026-04-13,27.8,26.631564832990428,27.2,26.80020289802791
2026-04-14,28.1,27.406681758158463,27.8,27.732737290955974
2026-04-15,27.0,27.426839370824624,26.7,26.980277038702045
2026-04-16,27.4,26.763612683088994,26.4,27.025327525252536
2026-04-17,27.7,27.266665874274942,27.1,27.53693389810733
2026-04-18,27.8,27.558907440150634,26.7,27.676973613484552
2026-04-19,27.5,27.744033422874622,27.5,27.88921915802773
2026-04-20,27.5,27.3414083653539,27.8,27.513441420857774
2026-04-21,28.1,27.127067570230665,26.9,27.1970917193267
2026-04-22,26.8,27.663869371205777,27.5,27.774729594479613
2026-04-23,27.5,26.89421172084773,27.3,27.24899558682059
2026-04-24,27.9,27.322683367350287,28.0,27.514469079541612
2026-04-25,28.4,27.146067450780528,26.1,26.48374417989419
2026-04-26,28.0,27.77953137548819,27.5,27.765415274540302
2026-04-27,28.0,27.496548059639792,27.5,27.674829536204555
2026-04-28,28.1,28.51835765110352,27.6,27.80238595375217
2026-04-29,28.3,27.664845219742716,27.6,27.730718158584356
2026-04-30,27.6,27.458427508833914,26.7,27.067525152625162
2026-05-01,27.2,27.118855824644214,26.6,27.0542951960077
2026-05-02,27.7,27.205355762807585,27.2,27.259650860664678
2026-05-03,28.1,27.960707080642905,28.1,27.839791869050497
2026-05-04,28.2,27.968222237373844,28.0,27.871410383951552
