TANGGAL,Aktual (TAVG),Linear Regression,Decision Tree,Random Forest
2026-03-18,27.7,27.375640510401688,27.6,27.26558516860558
2026-03-19,27.8,27.476377293619855,27.6,27.38390265472668
2026-03-20,27.2,27.503858202313957,27.7,27.697690540867917
2026-03-21,27.5,27.008026071354465,27.6,27.24835844677464
2026-03-22,27.6,27.431850854194735,27.4,27.386146247073423
2026-03-23,27.7,27.255809661734048,27.5,27.319693957915685
2026-03-24,27.3,27.292754553684183,27.3,27.315899418640633
2026-03-25,28.2,27.2226997924994,27.3,27.32254443204944
2026-03-26,27.3,27.806132783265845,26.3,27.492557984607974
2026-03-27,26.6,27.41460157050711,27.3,27.34494930254932
2026-03-28,26.6,26.783565714394804,25.3,26.7758834961335
2026-03-29,27.5,26.88409391952657,25.3,26.645211323861336
2026-03-30,27.8,27.344309059483315,27.1,27.1548857598055
2026-03-31,27.5,26.74782058437623,26.5,26.543997883597843
2026-04-01,27.5,27.615980267667624,27.8,27.529221137601848
2026-04-02,27.5,27.376633501038008,27.7,27.510728583882198
2026-04-03,27.5,27.481592054423764,27.7,27.43991201003065
2026-04-04,26.7,27.36581056639529,27.6,27.34012642421696
2026-04-05,27.1,26.889923285511898,27.2,26.996444285714265
2026-04-06,27.0,27.176083122080183,27.7,27.30278626882866
2026-04-07,27.0,27.26336534433885,26.7,26.91634544032847
2026-04-08,27.4,27.292935762870712,26.7,27.108695392228434
2026-04-09,27.4,27.53987514375681,27.8,27.418148922138133
2026-04-10,27.0,27.99291606767845,27.7,27.351241081238445
2026-04-11,27.1,27.324481371683127,26.7,27.046241219842543
2026-04-12,27.0,27.17936091774044,27.7,27.42470426453902
2026-04-13,27.8,27.143865317420435,26.7,26.9035545713826
2026-04-14,28.1,27.670845594953505,28.3,27.728044232124795
2026-04-15,27.0,27.89813216683472,27.9,27.75963799966604
2026-04-16,27.4,27.1519536894561,26.9,27.002009274690977
2026-04-17,27.7,27.293497292876587,27.3,27.447453200779787
2026-04-18,27.8,27.405234760718784,27.6,27.389979589218335
2026-04-19,27.5,27.44403629181936,28.0,27.57600482385876
2026-04-20,27.5,27.099176666060217,27.5,27.17045696581612
2026-04-21,28.1,27.302053172155254,27.6,27.252150755297617
2026-04-22,26.8,27.975616820275754,28.5,27.72567048986104
2026-04-23,27.5,26.949141287528413,27.7,26.87942529385697
2026-04-24,27.9,27.447868412661215,27.3,27.141724143654763
2026-04-25,28.4,27.79922715420394,26.8,27.643840087782593
2026-04-26,28.0,28.445591557571813,28.8,27.772321966532502
2026-04-27,28.0,27.9098875014206,28.8,27.601993711298473
2026-04-28,28.1,27.90405389607666,28.8,27.615845827700582
2026-04-29,28.3,27.02670421335619,27.9,26.980832661782657
2026-04-30,27.6,27.983663994699995,26.5,27.334207357282104
2026-05-01,27.2,27.738994414964296,27.0,27.217692552856683
2026-05-02,27.7,27.405847495471114,27.8,27.413926127884473
2026-05-03,28.1,27.644645418136708,28.0,27.42651967291968
2026-05-04,28.2,27.679706011562182,26.1,27.52631334498834
2026-05-05,27.6,27.765822616211004,27.9,27.81532792958674
2026-05-06,27.7,27.41239181634161,27.0,27.50253190005247
2026-05-07,27.3,27.534330547618005,28.0,27.647695065546767
2026-05-08,27.9,27.136237552365778,27.7,27.345946220406294
2026-05-09,26.8,27.517906852211716,28.0,27.712620796904616
2026-05-10,27.4,26.87449750609133,26.9,26.97923641611162
2026-05-11,27.1,27.18285966325864,27.6,27.38564076682178
2026-05-12,27.5,27.15212054765704,27.8,27.460241068813243
2026-05-13,27.2,27.438643730923282,27.8,27.427238321074316
2026-05-14,27.5,27.216827016004387,27.7,27.242119147276178
2026-05-15,27.9,27.4460332457407,27.8,27.429626921327316
2026-05-16,27.6,27.834476243419598,28.8,27.648842672337437
2026-05-17,27.1,27.67293053040286,26.7,27.24369133122684
2026-05-18,26.6,27.228970574257502,26.4,27.26473931203302
2026-05-19,26.6,26.752381490876232,26.3,26.94508321708845
2026-05-20,27.4,26.806163924172246,26.9,26.85044632620155
2026-05-21,27.7,27.494474860099427,26.7,27.222084048105792
2026-05-22,27.8,27.72923228357066,27.1,27.30268289996175
2026-05-23,27.9,27.727522624258487,27.5,27.647093837947256
2026-05-24,27.9,27.63505394853089,27.5,27.65966660710749
2026-05-25,27.2,27.613174590442032,27.5,27.577566649646645
2026-05-26,27.0,27.159993847539276,27.2,27.178143247611363
2026-05-27,26.8,27.045305054796078,26.8,26.73895882635883
2026-05-28,27.8,26.751712422340646,27.0,26.803228042328033
2026-05-29,27.3,27.244036948790587,28.0,27.336356277981267
2026-05-30,26.8,26.664115255090188,27.3,27.08548111122882
2026-05-31,26.3,26.459996806815703,26.1,26.344751418951414
2026-06-01,26.85,26.235163375406483,27.2,26.390407443482435
2026-06-02,27.4,26.483506370683422,26.5,26.461540873015874
2026-06-03,27.0,27.03979203944478,27.2,27.326206004489322
2026-06-04,27.1,26.961408473668133,27.0,26.887647811447817
2026-06-05,27.9,27.0005619124944,27.5,27.330805206897892
2026-06-06,27.5,27.47685862361879,28.0,27.68999572372074
2026-06-07,27.15,26.921089461063485,27.7,27.029972150072137
2026-06-08,26.8,26.634402195491163,26.5,26.847410125985103
2026-06-09,25.9,26.387189575608396,25.7,26.42171230158729
2026-06-10,26.1,25.971568025531273,25.7,25.60539933862435
2026-06-11,25.7,25.97851542009823,25.6,25.733614285714285
2026-06-12,26.3,25.787703765700435,25.6,25.37166349206349
2026-06-13,26.7,26.390093162796788,26.8,26.716958465608478
2026-06-14,27.2,26.695219051382253,27.6,26.84526514911013
2026-06-15,27.6,27.11927138950974,27.5,27.318503434361514
2026-06-16,26.6,27.215114862670738,27.7,26.980888605815547
2026-06-17,25.950000000000003,26.214674708668888,26.8,26.201512301587304
2026-06-18,25.3,25.86216263266251,25.6,25.51283743386243
2026-06-19,25.2,25.437704608656446,24.8,25.26418822751325
2026-06-20,26.1,25.397024194461228,24.2,25.12496494708995
2026-06-21,26.0,26.155485360566004,25.6,26.17792658730161
2026-06-22,26.5,26.120745475176626,25.6,25.946342592592604
2026-06-23,26.6,26.51358653015577,27.0,26.819543121693133
2026-06-24,26.3,26.738297348266315,26.8,26.80633934583934
2026-06-25,26.8,26.26707339620403,26.4,26.59116714766716
2026-06-26,26.2,26.61024336813672,27.2,26.784348148148137
2026-06-27,26.5,26.111624162704164,24.4,26.3682929172679
2026-06-28,26.4,26.332987874322534,24.4,26.515934396344406
2026-06-29,25.1,25.88662261687967,26.8,25.897845370370383
2026-06-30,25.0,25.071540647673082,25.2,25.074846548821544
2026-07-01,24.8,25.13882541342821,25.2,25.149782708032696
2026-07-02,25.2,25.081510336250087,24.5,24.9999588023088
2026-07-03,25.1,25.264867734227174,24.0,25.10465353535352
2026-07-04,24.8,25.255902907411475,25.0,25.224426755651756
2026-07-05,25.4,25.03879612122973,24.5,24.92525496632997
2026-07-06,26.4,25.583261717138793,26.1,25.548329894179904
2026-07-07,26.0,26.179162228900786,25.6,25.94808571428572
2026-07-08,26.6,25.80425127309467,26.3,25.54004642857144
2026-07-09,25.3,26.088480396159824,26.7,25.99812724867726
2026-07-10,24.0,25.165068692740846,24.0,24.615915175565167
2026-07-11,24.9,24.134517349654153,24.7,24.219949206349217
2026-07-12,23.4,24.572031167254657,24.3,24.604795274170264
